line_no,case,order_tag,modules,kept_metric_count,over10_count,over20_count,worst_metric,worst_rel_pct,worst_combo_mpki,worst_combo_count,worst_sum_count
308,combo_044_s4,shuffle_mixslot5_mix_s4096_l1_lin_p128_np1_r100_mixslot2_mix_s8192_l14_rand_p128_np4_r100_main_b64_lin_p1_np4_l1_r100_mixslot4_mix_s4096_l14_rand_p512_np4_r100,mix_b64_ld1_lin_p128_np1_r100+mix_b128_ld14_rand_p128_np4_r100+cold_b64_d4_bitrev+mix_b64_ld14_rand_p512_np4_r100,17,5,3,ll_cache_miss:u,561.86,2.910918,160164,24199
315,combo_045_s4,canonical,cold_b64_d4_bitrev+mix_b64_ld7_rand_p524288_np1_r100+mix_b128_ld4_lin_p524288_np4_r100+mix_b128_ld2_lstr_p524288_np4_sl5_r100,19,3,3,l2i_cache:u,254.09,0.207992,13707,3871
316,combo_045_s4,shuffle_main_b64_lin_p128_np1_l2_r100_mixslot3_mix_s8192_l4_lin_p524288_np4_r100_mixslot2_mix_s4096_l7_rand_p524288_np1_r100_mixslot6_mix_s8192_l2_lstr5_p524288_np4_sl5_r100,cold_b64_d4_bitrev+mix_b128_ld4_lin_p524288_np4_r100+mix_b64_ld7_rand_p524288_np1_r100+mix_b128_ld2_lstr_p524288_np4_sl5_r100,19,3,3,l2i_cache_refill:u,230.48,0.180132,11871,3592
323,combo_046_s4,canonical,itlb_f64_l1_r100+mix_b128_ld1_pstr_p512_np4_sp17_r100+mix_b128_ld4_lin_p512_np1_r100+mix_b128_ld7_lin_p524288_np1_r100,21,3,1,l2i_tlb_refill:u,3851.32,0.100266,7468,189
324,combo_046_s4,shuffle_mixslot5_mix_s8192_l7_lin_p524288_np1_r100_mixslot3_mix_s8192_l1_pstr17_p512_np4_sp17_r100_mixslot4_mix_s8192_l4_lin_p512_np1_r100_itlb_f64_lin_p128_np1_l2_r100,mix_b128_ld7_lin_p524288_np1_r100+mix_b128_ld1_pstr_p512_np4_sp17_r100+mix_b128_ld4_lin_p512_np1_r100+itlb_f64_l1_r100,21,2,1,l2i_tlb_refill:u,3981.48,0.103569,7714,189
331,combo_047_s4,canonical,cold_b64_d4_bitrev+hot_b64_bp3_r100+mix_b64_ld4_rand_p128_np4_r100+mix_b128_ld14_rand_p128_np4_r100,15,3,1,ll_cache_miss:u,211.38,0.496681,27974,8984
332,combo_047_s4,shuffle_mixslot6_mix_s8192_l14_rand_p128_np4_r100_hot_s4096_lin_p128_np4_l1_r100_main_b64_rand_p1_np1_l2_r100_mixslot1_mix_s4096_l4_rand_p128_np4_r100,mix_b128_ld14_rand_p128_np4_r100+hot_b64_bp3_r100+cold_b64_d4_bitrev+mix_b64_ld4_rand_p128_np4_r100,17,4,2,l2i_cache:u,116.68,0.107223,6039,2787
339,combo_048_s4,canonical,hot_b64_bp3_r100+mix_b128_ld7_lin_p128_np4_r100+mix_b64_ld7_lin_p524288_np1_r100+mix_b64_ld14_pstr_p524288_np4_sp17_r100,18,3,3,l2i_cache_refill:u,208.37,0.231258,12338,4001
340,combo_048_s4,shuffle_mixslot4_mix_s4096_l7_lin_p524288_np1_r100_mixslot2_mix_s8192_l7_lin_p128_np4_r100_mixslot5_mix_s4096_l14_pstr17_p524288_np4_sp17_r100_hot_s4096_rand_p128_np1_l1_r100,mix_b64_ld7_lin_p524288_np1_r100+mix_b128_ld7_lin_p128_np4_r100+mix_b64_ld14_pstr_p524288_np4_sp17_r100+hot_b64_bp3_r100,18,3,3,l2i_cache_refill:u,206.37,0.229759,12258,4001
347,combo_049_s4,canonical,fetch_b64_d1_bp0_s16_r100+mix_b64_ld2_rand_p524288_np4_r100+mix_b128_ld4_lstr_p128_np4_sl5_r100+mix_b128_ld1_rand_p128_np1_r100,16,4,3,ll_cache:u,35.30,158.129921,11255977,8319295
