case,module,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki,params_json
mix_b128_ld1_lstr_p512_np4_sl5_r100,mixed_region_loop,58514654,20860952,81392,521,2671592,848,2671592,39,851,688,82,20,1416713,1280477,2778516,1300570,5059978,2565714,1300597,55,2564987,8427,0.3565,,0.0003,0.0000,0.8085,0.2439,0.9038,0.4681,0.5071,0.0000,0.0033,,3.9016,0.0250,128.0666,0.0407,128.0666,0.0019,0.0408,0.0330,0.0039,0.0010,67.9122,61.3815,133.1922,62.3447,242.5574,122.9912,62.3460,0.0026,122.9564,0.4040,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":8192,""stride_lines"":5}"
mix_b128_ld1_lstr_p524288_np4_sl5_r100,mixed_region_loop,48718827,20860952,81392,390,2672153,677,2672153,39,679,624,93,37,1416904,236983,1436529,4966,4811829,1875924,5005,3230,1829444,1726243,0.4282,,0.0003,0.0000,0.9190,0.3978,0.1673,0.0035,0.3899,0.6454,0.9436,,3.9016,0.0187,128.0935,0.0325,128.0935,0.0019,0.0325,0.0299,0.0045,0.0018,67.9213,11.3601,68.8621,0.2381,230.6620,89.9251,0.2399,0.1548,87.6971,82.7500,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":8192,""stride_lines"":5}"
mix_b128_ld1_pstr_p128_np1_sp17_r100,mixed_region_loop,44007032,20860952,81392,416,2671697,699,2671697,42,701,621,101,16,1415831,1234855,2784160,1300062,3588659,1024548,1300153,12,1023858,1430,0.4740,,0.0003,0.0000,0.8859,0.1584,0.8722,0.4669,0.2855,0.0000,0.0014,,3.9016,0.0199,128.0717,0.0335,128.0717,0.0020,0.0336,0.0298,0.0048,0.0008,67.8699,59.1946,133.4627,62.3204,172.0276,49.1132,62.3247,0.0006,49.0801,0.0685,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":8192,""stride_pages"":17}"
mix_b128_ld1_pstr_p128_np4_sp17_r100,mixed_region_loop,34027188,20860952,81392,392,2669737,816,2669737,39,816,648,84,16,1415741,1206450,2787788,1300072,3795839,853970,1300113,15,853289,2647,0.6131,,0.0003,0.0000,0.7941,0.1905,0.8522,0.4663,0.2250,0.0000,0.0031,,3.9016,0.0188,127.9777,0.0391,127.9777,0.0019,0.0391,0.0311,0.0040,0.0008,67.8656,57.8329,133.6367,62.3208,181.9590,40.9363,62.3228,0.0007,40.9036,0.1269,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":8192,""stride_pages"":17}"
mix_b128_ld1_pstr_p512_np1_sp17_r100,mixed_region_loop,55945732,20860952,81392,485,2671316,687,2671316,43,688,610,103,20,1416803,1280534,2776719,1300573,5057966,2563439,1300608,118,2562707,3481,0.3729,,0.0003,0.0000,0.8866,0.1942,0.9038,0.4684,0.5068,0.0001,0.0014,,3.9016,0.0232,128.0534,0.0329,128.0534,0.0021,0.0330,0.0292,0.0049,0.0010,67.9165,61.3843,133.1061,62.3449,242.4609,122.8822,62.3465,0.0057,122.8471,0.1669,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":8192,""stride_pages"":17}"
mix_b128_ld1_pstr_p512_np4_sp17_r100,mixed_region_loop,61520541,20860952,81392,485,2671177,733,2671177,44,733,650,93,22,1416762,1274325,2776754,1300560,5324919,2651057,1300599,51,2650309,95429,0.3391,,0.0003,0.0000,0.8868,0.2366,0.8995,0.4684,0.4979,0.0000,0.0360,,3.9016,0.0232,128.0467,0.0351,128.0467,0.0021,0.0351,0.0312,0.0045,0.0011,67.9145,61.0866,133.1077,62.3442,255.2577,127.0823,62.3461,0.0024,127.0464,4.5745,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":8192,""stride_pages"":17}"
mix_b128_ld1_pstr_p524288_np1_sp17_r100,mixed_region_loop,308185076,20861055,81402,585,2669831,1029,2669831,38,1033,694,101,37,1417177,1288963,1507171,47864,4892038,2468711,47888,7109,2467279,2435610,0.0677,,0.0004,0.0000,0.6718,0.3663,0.9095,0.0318,0.5046,0.1485,0.9872,,3.9021,0.0280,127.9816,0.0493,127.9816,0.0018,0.0495,0.0333,0.0048,0.0018,67.9341,61.7880,72.2481,2.2944,234.5058,118.3407,2.2956,0.3408,118.2720,116.7539,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":8192,""stride_pages"":17}"
mix_b128_ld1_pstr_p524288_np4_sp17_r100,mixed_region_loop,308158360,20861055,81402,564,2672742,889,2672742,40,892,656,99,38,1416956,1278220,1496113,46345,5104292,2686688,46366,7111,2685161,2650837,0.0677,,0.0003,0.0000,0.7354,0.3838,0.9021,0.0310,0.5264,0.1534,0.9872,,3.9021,0.0270,128.1211,0.0426,128.1211,0.0019,0.0428,0.0314,0.0047,0.0018,67.9235,61.2730,71.7180,2.2216,244.6804,128.7897,2.2226,0.3409,128.7165,127.0711,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":8192,""stride_pages"":17}"
mix_b128_ld1_rand_p128_np1_r100,mixed_region_loop,43335625,20860952,81392,415,2668914,710,2668914,42,711,638,85,19,1415848,1212938,2782437,1300063,3834260,1049507,1300095,18,1048846,1246,0.4814,,0.0003,0.0000,0.8973,0.2235,0.8567,0.4672,0.2737,0.0000,0.0012,,3.9016,0.0199,127.9383,0.0340,127.9383,0.0020,0.0341,0.0306,0.0041,0.0009,67.8707,58.1439,133.3802,62.3204,183.8008,50.3096,62.3219,0.0009,50.2780,0.0597,"{""data_mode"":""random"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":8192}"
mix_b128_ld1_rand_p128_np4_r100,mixed_region_loop,36703749,20860952,81392,463,2668127,693,2668127,45,694,641,94,14,1416055,1225607,2485409,1005181,3702932,1026558,1005223,59,1025843,2891,0.5684,,0.0003,0.0000,0.9236,0.1489,0.8655,0.4044,0.2772,0.0001,0.0028,,3.9016,0.0222,127.9005,0.0332,127.9005,0.0022,0.0333,0.0307,0.0045,0.0007,67.8807,58.7512,119.1417,48.1848,177.5054,49.2095,48.1868,0.0028,49.1753,0.1386,"{""data_mode"":""random"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":8192}"
mix_b128_ld1_rand_p512_np1_r100,mixed_region_loop,55378249,20860952,81392,590,2672386,715,2672386,41,717,623,97,21,1416841,1280504,2777869,1300566,5058360,2563426,1300602,150,2562690,3619,0.3767,,0.0003,0.0000,0.8689,0.2165,0.9038,0.4682,0.5068,0.0001,0.0014,,3.9016,0.0283,128.1047,0.0343,128.1047,0.0020,0.0344,0.0299,0.0046,0.0010,67.9183,61.3828,133.1612,62.3445,242.4798,122.8815,62.3462,0.0072,122.8463,0.1735,"{""data_mode"":""random"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":8192}"
mix_b128_ld1_rand_p512_np4_r100,mixed_region_loop,59736741,20860952,81392,477,2670585,713,2670585,44,713,637,94,26,1415721,1283214,2718772,1243864,5143998,2567356,1243902,267,2566476,10533,0.3492,,0.0003,0.0000,0.8934,0.2766,0.9064,0.4575,0.4991,0.0002,0.0041,,3.9016,0.0229,128.0184,0.0342,128.0184,0.0021,0.0342,0.0305,0.0045,0.0012,67.8646,61.5127,130.3283,59.6264,246.5850,123.0699,59.6282,0.0128,123.0278,0.5049,"{""data_mode"":""random"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":8192}"
mix_b128_ld1_rand_p524288_np1_r100,mixed_region_loop,329973355,20860914,81380,499,2670003,1014,2670003,39,1017,693,92,37,1415585,1279897,2825724,1271123,5077009,2572171,1271193,16885,2570765,2556090,0.0632,,0.0004,0.0000,0.6814,0.4022,0.9041,0.4498,0.5066,0.0133,0.9943,,3.9011,0.0239,127.9907,0.0486,127.9907,0.0019,0.0488,0.0332,0.0044,0.0018,67.8582,61.3538,135.4554,60.9332,243.3742,123.3010,60.9366,0.8094,123.2336,122.5301,"{""data_mode"":""random"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":8192}"
mix_b128_ld1_rand_p524288_np4_r100,mixed_region_loop,329597152,20860908,81382,498,2669691,1020,2669691,40,1021,754,92,39,1415615,1275811,2764798,1260874,5377977,2851650,1260949,12497,2849197,2821615,0.0633,,0.0004,0.0000,0.7385,0.4239,0.9012,0.4560,0.5302,0.0099,0.9903,,3.9012,0.0239,127.9758,0.0489,127.9758,0.0019,0.0489,0.0361,0.0044,0.0019,67.8597,61.1580,132.5349,60.4420,257.8017,136.6983,60.4455,0.5991,136.5807,135.2585,"{""data_mode"":""random"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":8192}"
mix_b128_ld2_lin_p128_np1_r100,mixed_region_loop,77196986,20860952,81392,420,2675398,772,2675398,59,774,664,99,23,2699469,2454936,5388323,2590065,7500207,2375189,2590765,56,2374444,1476,0.2702,,0.0003,0.0000,0.8579,0.2323,0.9094,0.4807,0.3167,0.0000,0.0006,,3.9016,0.0201,128.2491,0.0370,128.2491,0.0028,0.0371,0.0318,0.0047,0.0011,129.4030,117.6809,258.2971,124.1585,359.5333,113.8581,124.1921,0.0027,113.8224,0.0708,"{""data_mode"":""linear"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":8192}"
mix_b128_ld2_lin_p128_np4_r100,mixed_region_loop,44341418,20860952,81392,423,2672967,744,2672967,53,746,664,96,29,2697441,786179,3728100,660356,6032201,1374750,660606,53,1374034,4540,0.4705,,0.0003,0.0000,0.8901,0.3021,0.2915,0.1771,0.2279,0.0001,0.0033,,3.9016,0.0203,128.1326,0.0357,128.1326,0.0025,0.0358,0.0318,0.0046,0.0014,129.3057,37.6866,178.7119,31.6551,289.1623,65.9006,31.6671,0.0025,65.8663,0.2176,"{""data_mode"":""linear"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":8192}"
mix_b128_ld2_lin_p512_np1_r100,mixed_region_loop,112768512,20860952,81392,593,2672085,979,2672085,52,983,685,112,31,2697590,2548473,5344582,2581169,10420480,5126050,2581537,306,5125226,4659,0.1850,,0.0004,0.0000,0.6968,0.2768,0.9447,0.4830,0.4919,0.0001,0.0009,,3.9016,0.0284,128.0903,0.0469,128.0903,0.0025,0.0471,0.0328,0.0054,0.0015,129.3129,122.1648,256.2003,123.7321,499.5208,245.7246,123.7497,0.0147,245.6851,0.2233,"{""data_mode"":""linear"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":8192}"
mix_b128_ld2_lin_p512_np4_r100,mixed_region_loop,70309621,20860952,81392,438,2670767,770,2670767,54,770,688,108,40,2697312,941033,3883068,660283,9005308,4340895,660327,287,4339801,40702,0.2967,,0.0003,0.0000,0.8935,0.3704,0.3489,0.1700,0.4820,0.0004,0.0094,,3.9016,0.0210,128.0271,0.0369,128.0271,0.0026,0.0369,0.0330,0.0052,0.0019,129.2996,45.1098,186.1405,31.6516,431.6825,208.0871,31.6537,0.0138,208.0347,1.9511,"{""data_mode"":""linear"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":8192}"
mix_b128_ld2_lin_p524288_np1_r100,mixed_region_loop,111691060,20860952,81392,450,2676532,746,2676532,41,746,641,105,39,2698378,484291,2724086,7686,11382025,4634705,7714,5046,4630674,4205488,0.1868,,0.0003,0.0000,0.8592,0.3714,0.1795,0.0028,0.4072,0.6541,0.9082,,3.9016,0.0216,128.3034,0.0358,128.3034,0.0020,0.0358,0.0307,0.0050,0.0019,129.3507,23.2152,130.5830,0.3684,545.6139,222.1713,0.3698,0.2419,221.9781,201.5962,"{""data_mode"":""linear"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":8192}"
mix_b128_ld2_lin_p524288_np4_r100,mixed_region_loop,98153321,20860952,81392,480,2674295,903,2674295,53,906,709,101,45,2696575,450023,2706976,2025,10337916,3804096,2056,1779,3800788,3565829,0.2125,,0.0003,0.0000,0.7826,0.4455,0.1669,0.0007,0.3680,0.8653,0.9382,,3.9016,0.0230,128.1962,0.0433,128.1962,0.0025,0.0434,0.0340,0.0048,0.0022,129.2642,21.5725,129.7628,0.0971,495.5630,182.3549,0.0986,0.0853,182.1963,170.9332,"{""data_mode"":""linear"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":8192}"
mix_b128_ld2_lstr_p128_np4_sl5_r100,mixed_region_loop,68580400,20860952,81392,597,2672233,898,2672233,52,900,706,106,21,2697385,2456720,5343997,2581178,7593760,2457424,2583606,15,2456699,3686,0.3042,,0.0003,0.0000,0.7844,0.1981,0.9108,0.4830,0.3236,0.0000,0.0015,,3.9016,0.0286,128.0974,0.0430,128.0974,0.0025,0.0431,0.0338,0.0051,0.0010,129.3031,117.7664,256.1722,123.7325,364.0179,117.8002,123.8489,0.0007,117.7654,0.1767,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":8192,""stride_lines"":5}"
mix_b128_ld2_lstr_p512_np4_sl5_r100,mixed_region_loop,111479696,20860952,81392,348,2677434,729,2677434,39,731,644,95,25,2699142,2546649,5349037,2581822,10425632,5145725,2583406,235,5144831,36458,0.1871,,0.0003,0.0000,0.8810,0.2632,0.9435,0.4827,0.4936,0.0001,0.0071,,3.9016,0.0167,128.3467,0.0349,128.3467,0.0019,0.0350,0.0309,0.0046,0.0012,129.3873,122.0773,256.4138,123.7634,499.7678,246.6678,123.8393,0.0113,246.6249,1.7477,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":8192,""stride_lines"":5}"
mix_b128_ld2_lstr_p524288_np4_sl5_r100,mixed_region_loop,98260791,20860958,81390,435,2675829,730,2675829,41,730,644,99,39,2698608,465483,2729054,9280,9700479,3630839,9318,5673,3596130,3372404,0.2123,,0.0003,0.0000,0.8822,0.3939,0.1725,0.0034,0.3743,0.6088,0.9378,,3.9015,0.0209,128.2697,0.0350,128.2697,0.0020,0.0350,0.0309,0.0047,0.0019,129.3617,22.3136,130.8211,0.4449,465.0064,174.0495,0.4467,0.2719,172.3857,161.6610,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":8192,""stride_lines"":5}"
mix_b128_ld2_pstr_p128_np1_sp17_r100,mixed_region_loop,81049726,20860952,81392,513,2671637,740,2671637,35,744,634,83,15,2696946,2467546,5347557,2580071,7765514,2620115,2583788,23,2619387,2379,0.2574,,0.0003,0.0000,0.8522,0.1807,0.9149,0.4825,0.3374,0.0000,0.0009,,3.9016,0.0246,128.0688,0.0355,128.0688,0.0017,0.0357,0.0304,0.0040,0.0007,129.2820,118.2854,256.3429,123.6794,372.2512,125.5990,123.8576,0.0011,125.5641,0.1140,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":8192,""stride_pages"":17}"
mix_b128_ld2_pstr_p128_np4_sp17_r100,mixed_region_loop,84787290,20860952,81392,508,2671699,741,2671699,53,743,657,98,17,2697189,2447083,5349883,2580068,7462710,2001723,2583314,19,2000978,3800,0.2460,,0.0003,0.0000,0.8843,0.1735,0.9073,0.4823,0.2682,0.0000,0.0019,,3.9016,0.0244,128.0718,0.0355,128.0718,0.0025,0.0356,0.0315,0.0047,0.0008,129.2937,117.3045,256.4544,123.6793,357.7358,95.9555,123.8349,0.0009,95.9198,0.1822,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":8192,""stride_pages"":17}"
mix_b128_ld2_pstr_p512_np1_sp17_r100,mixed_region_loop,113598470,20860952,81392,497,2671689,752,2671689,35,752,621,85,17,2697342,2549390,5342835,2580941,10424792,5127717,2581119,144,5126827,6297,0.1836,,0.0003,0.0000,0.8258,0.2000,0.9451,0.4831,0.4919,0.0001,0.0012,,3.9016,0.0238,128.0713,0.0360,128.0713,0.0017,0.0360,0.0298,0.0041,0.0008,129.3010,122.2087,256.1165,123.7212,499.7275,245.8046,123.7297,0.0069,245.7619,0.3019,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":8192,""stride_pages"":17}"
mix_b128_ld2_pstr_p512_np4_sp17_r100,mixed_region_loop,112097607,20860952,81392,511,2671483,1019,2671483,46,1018,739,93,17,2700347,2562126,5394312,2592435,10125985,5130768,2593204,105,5129833,12239,0.1861,,0.0004,0.0000,0.7259,0.1828,0.9488,0.4806,0.5067,0.0000,0.0024,,3.9016,0.0245,128.0614,0.0488,128.0614,0.0022,0.0488,0.0354,0.0045,0.0008,129.4451,122.8192,258.5842,124.2721,485.4038,245.9508,124.3090,0.0050,245.9060,0.5867,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":8192,""stride_pages"":17}"
mix_b128_ld2_pstr_p524288_np1_sp17_r100,mixed_region_loop,617849161,20860908,81382,491,2697986,1292,2697986,53,1293,768,146,48,2706727,2565980,2850402,92642,9720761,4940108,92665,13843,4937637,4779799,0.0338,,0.0005,0.0000,0.5940,0.3288,0.9480,0.0325,0.5082,0.1494,0.9680,,3.9012,0.0235,129.3321,0.0619,129.3321,0.0025,0.0620,0.0368,0.0070,0.0023,129.7512,123.0042,136.6384,4.4409,465.9798,236.8117,4.4420,0.6636,236.6933,229.1271,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":8192,""stride_pages"":17}"
mix_b128_ld2_pstr_p524288_np4_sp17_r100,mixed_region_loop,619328284,20860914,81380,503,2685269,1234,2685269,41,1235,704,95,39,2706040,2565455,2850204,92616,9730268,4942325,92650,14526,4939907,4807706,0.0337,,0.0005,0.0000,0.5700,0.4105,0.9480,0.0325,0.5079,0.1568,0.9732,,3.9011,0.0241,128.7225,0.0592,128.7225,0.0020,0.0592,0.0337,0.0046,0.0019,129.7182,122.9790,136.6289,4.4397,466.4354,236.9180,4.4413,0.6963,236.8020,230.4648,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":8192,""stride_pages"":17}"
mix_b128_ld2_rand_p128_np1_r100,mixed_region_loop,75028790,20860952,81392,474,2670582,711,2670582,41,711,619,89,14,2697282,2437178,5342671,2580060,7365421,1934297,2580609,15,1933574,2491,0.2780,,0.0003,0.0000,0.8706,0.1573,0.9036,0.4829,0.2626,0.0000,0.0013,,3.9016,0.0227,128.0182,0.0341,128.0182,0.0020,0.0341,0.0297,0.0043,0.0007,129.2981,116.8297,256.1087,123.6789,353.0721,92.7233,123.7052,0.0007,92.6887,0.1194,"{""data_mode"":""random"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":8192}"
mix_b128_ld2_rand_p128_np4_r100,mixed_region_loop,77031323,20860952,81392,381,2674208,852,2674208,41,853,663,87,16,2698553,2471936,4730879,1976897,7291033,2098962,1977549,13,2098196,4744,0.2708,,0.0003,0.0000,0.7773,0.1839,0.9160,0.4179,0.2879,0.0000,0.0023,,3.9016,0.0183,128.1920,0.0408,128.1920,0.0020,0.0409,0.0318,0.0042,0.0008,129.3591,118.4958,226.7815,94.7654,349.5062,100.6168,94.7967,0.0006,100.5801,0.2274,"{""data_mode"":""random"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":8192}"
mix_b128_ld2_rand_p512_np1_r100,mixed_region_loop,114006949,20860952,81392,504,2671536,894,2671536,43,898,666,92,27,2697514,2560996,5347734,2581199,10117327,5126757,2581582,164,5125841,5606,0.1830,,0.0003,0.0000,0.7416,0.2935,0.9494,0.4827,0.5067,0.0001,0.0011,,3.9016,0.0242,128.0640,0.0429,128.0640,0.0021,0.0430,0.0319,0.0044,0.0013,129.3092,122.7651,256.3514,123.7335,484.9887,245.7585,123.7519,0.0079,245.7146,0.2687,"{""data_mode"":""random"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":8192}"
mix_b128_ld2_rand_p512_np4_r100,mixed_region_loop,114627748,20860952,81392,467,2672212,746,2672212,37,745,641,81,23,2697823,2560895,5233316,2468825,10120417,5128786,2469937,75,5127847,14777,0.1820,,0.0003,0.0000,0.8604,0.2840,0.9492,0.4718,0.5068,0.0000,0.0029,,3.9016,0.0224,128.0964,0.0358,128.0964,0.0018,0.0357,0.0307,0.0039,0.0011,129.3241,122.7602,250.8666,118.3467,485.1369,245.8558,118.4000,0.0036,245.8108,0.7084,"{""data_mode"":""random"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":8192}"
mix_b128_ld2_rand_p524288_np1_r100,mixed_region_loop,665556422,20860914,81380,562,2689388,1420,2689388,45,1425,744,110,41,2703220,2563349,5340046,2504636,10188542,5174753,2505887,28736,5172622,5137166,0.0313,,0.0005,0.0000,0.5221,0.3727,0.9483,0.4690,0.5079,0.0115,0.9931,,3.9011,0.0269,128.9200,0.0681,128.9200,0.0022,0.0683,0.0357,0.0053,0.0020,129.5830,122.8781,255.9833,120.0636,488.4034,248.0597,120.1235,1.3775,247.9576,246.2580,"{""data_mode"":""random"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":8192}"
mix_b128_ld2_rand_p524288_np4_r100,mixed_region_loop,667740800,20860908,81382,555,2690746,1306,2690746,41,1306,808,139,39,2710277,2567053,5357667,2508686,10190808,5170302,2511192,30783,5166374,5062064,0.0312,,0.0005,0.0000,0.6187,0.2806,0.9472,0.4682,0.5073,0.0123,0.9798,,3.9012,0.0266,128.9851,0.0626,128.9851,0.0020,0.0626,0.0387,0.0067,0.0019,129.9213,123.0557,256.8281,120.2578,488.5122,247.8465,120.3779,1.4756,247.6582,242.6579,"{""data_mode"":""random"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":8192}"
mix_b128_ld4_lin_p128_np1_r100,mixed_region_loop,143373009,20860952,81392,400,2680130,787,2680130,41,787,618,84,16,5261837,4907848,10488598,5142579,13648788,3395275,5145003,96,3394379,3565,0.1455,,0.0003,0.0000,0.7853,0.1905,0.9327,0.4903,0.2488,0.0000,0.0011,,3.9016,0.0192,128.4759,0.0377,128.4759,0.0020,0.0377,0.0296,0.0040,0.0008,252.2338,235.2648,502.7862,246.5170,654.2745,162.7574,246.6332,0.0046,162.7145,0.1709,"{""data_mode"":""linear"",""ldr_count_per_unit"":4,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":8192}"
mix_b128_ld4_lin_p128_np4_r100,mixed_region_loop,80454673,20860952,81392,496,2673555,939,2673555,52,941,737,102,34,5259670,1393847,7279622,1300072,11580354,2317907,1300592,26,2317122,8619,0.2593,,0.0004,0.0000,0.7832,0.3333,0.2650,0.1786,0.2002,0.0000,0.0037,,3.9016,0.0238,128.1607,0.0450,128.1607,0.0025,0.0451,0.0353,0.0049,0.0016,252.1299,66.8161,348.9592,62.3208,555.1211,111.1122,62.3458,0.0012,111.0746,0.4132,"{""data_mode"":""linear"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":8192}"
mix_b128_ld4_lin_p512_np1_r100,mixed_region_loop,226265240,20860962,81394,436,2685817,1179,2685817,47,1181,727,88,29,5263612,5110896,10493673,5142727,20442156,10223632,5143611,139,10222564,6095,0.0922,,0.0004,0.0000,0.6156,0.3295,0.9710,0.4901,0.5001,0.0000,0.0006,,3.9017,0.0209,128.7485,0.0565,128.7485,0.0023,0.0566,0.0348,0.0042,0.0014,252.3188,244.9981,503.0292,246.5240,979.9239,490.0844,246.5663,0.0067,490.0332,0.2922,"{""data_mode"":""linear"",""ldr_count_per_unit"":4,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":8192}"
mix_b128_ld4_lin_p512_np4_r100,mixed_region_loop,134620359,20860952,81392,447,2676106,779,2676106,44,782,666,91,24,5262189,1631740,7582746,1301242,17819531,8601331,1301895,94,8599224,121034,0.1550,,0.0003,0.0000,0.8517,0.2637,0.3101,0.1716,0.4827,0.0001,0.0141,,3.9016,0.0214,128.2830,0.0373,128.2830,0.0021,0.0375,0.0319,0.0044,0.0012,252.2507,78.2198,363.4899,62.3769,854.2051,412.3173,62.4082,0.0045,412.2163,5.8019,"{""data_mode"":""linear"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":8192}"
