module,case,blocks,block_align,direct_run_len,region_reps,layout,pos,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki
cold_block_sequence,cold_b14000_d2_linear,14000,64,2,1,linear,1,331796641,308216366,28049379,6981627,189082102,14079540,150974359,218848,13902863,4285021,411090,8904,0.9289,0.0745,0.0014,0.3082,0.0217,91.0055,22.6517,613.4720,45.6807,489.8324,0.7100,45.1075,13.9026,1.3338,0.0289
cold_block_sequence,cold_b14000_d2_bitrev,14000,64,2,1,in_page_shuffle,1,371651697,308216424,28049390,6957251,207120423,15096256,165249966,346647,15035053,4886600,389086,10470,0.8293,0.0729,0.0021,0.3250,0.0269,91.0055,22.5726,671.9967,48.9794,536.1491,1.1247,48.7808,15.8544,1.2624,0.0340
cold_block_sequence,cold_b14000_d4_linear,14000,64,4,1,linear,1,222587971,266218576,21049777,3491089,110502845,14044998,98466350,210862,13817347,3653287,414824,7696,1.1960,0.1271,0.0021,0.2644,0.0186,79.0695,13.1136,415.0831,52.7574,369.8703,0.7921,51.9023,13.7229,1.5582,0.0289
cold_block_sequence,cold_b14000_d4_bitrev,14000,64,4,1,in_page_shuffle,1,263076256,266216363,21049380,3479394,127529543,14922038,111662683,358938,14875589,3606308,402542,9775,1.0119,0.1170,0.0032,0.2424,0.0243,79.0687,13.0698,479.0447,56.0523,419.4433,1.3483,55.8778,13.5465,1.5121,0.0367
cold_block_sequence,cold_b14000_d8_linear,14000,64,8,1,linear,1,169540291,245216363,17549380,1746176,73238074,14042501,69296984,216665,13895595,3022671,468085,5204,1.4464,0.1917,0.0031,0.2175,0.0111,71.5669,7.1210,298.6672,57.2658,282.5953,0.8836,56.6667,12.3265,1.9089,0.0212
cold_block_sequence,cold_b14000_d8_bitrev,14000,64,8,1,in_page_shuffle,1,202336223,245218637,17549788,1744344,91942398,14867650,85753112,359362,14824765,2821125,404199,5891,1.2119,0.1617,0.0042,0.1903,0.0146,71.5679,7.1134,374.9405,60.6302,349.7006,1.4655,60.4553,11.5045,1.6483,0.0240
cold_block_sequence,cold_b14000_d16_linear,14000,64,16,1,linear,1,140448071,234720791,15800174,881661,59558443,14029899,58995282,220294,13907838,2098165,402741,5919,1.6712,0.2356,0.0037,0.1509,0.0147,67.3148,3.7562,253.7417,59.7727,251.3424,0.9385,59.2527,8.9390,1.7158,0.0252
cold_block_sequence,cold_b14000_d16_bitrev,14000,64,16,1,in_page_shuffle,1,174022310,234716554,15799410,879730,77298540,14716064,75245717,358165,14675427,2567821,401279,6665,1.3488,0.1904,0.0048,0.1750,0.0166,67.3127,3.7481,329.3272,62.6972,320.5812,1.5259,62.5240,10.9401,1.7096,0.0284
cold_block_sequence,cold_b15000_d1_linear,15000,64,1,1,linear,1,570291895,420227426,45051364,14969035,328801513,15104837,233830910,234829,14909253,7074475,379601,17215,0.7369,0.0459,0.0010,0.4745,0.0454,107.2071,35.6213,782.4371,35.9444,556.4390,0.5588,35.4790,16.8349,0.9033,0.0410
cold_block_sequence,cold_b15000_d1_bitrev,15000,64,1,1,in_page_shuffle,1,630046308,420220787,45050173,14959493,345047122,16228027,245707998,362261,16071047,8154211,384623,20037,0.6670,0.0470,0.0015,0.5074,0.0521,107.2060,35.5991,821.1091,38.6179,584.7117,0.8621,38.2443,19.4046,0.9153,0.0477
